appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
8.08,Android,HONOR,EBG-AN00,Android 10,HONOR,HONOR 30 Pro,CH5005,P6097,按钮点击,P6306,f41007b45d6bcbe8338130e925197f40,1647329459429,1647329460000,4070880000000,4070880000000,0,1647329479000,1647319390206,mockUrl/eScore.html#/index,"[{""FCP"":""767.400""},{""TTFB"":""1.800""},{""CLS"":""0.081""},{""LCP"":""1381.900""}]"
7.17,Android,HUAWEI,EML-AL00,Android 10,HUAWEI,HUAWEI P20,CH5005,P02w,按钮点击,P70,3f1637059c8b14c05a28f0ce5d62393d,1647307415597,1647308394000,4070880000000,4070880000000,0,1647308421000,1647308409729,mockUrl/eScore.html#/index,"[{""FCP"":""909.500""},{""TTFB"":""5.600""},{""CLS"":""0.000""},{""LCP"":""1657.500""}]"
8.08,Android,HUAWEI,DVC-AN20,Android 10,HUAWEI,123,CH5005,P02w,按钮点击,P70,f8489c45a39f279bce96650afd11c490,1647339720055,1647343885000,4070880000000,4070880000000,0,1647343943000,1647343936388,mockUrl/eScore.html#/index,"[{""FCP"":""396.800""},{""TTFB"":""1.800""},{""CLS"":""0.000""},{""LCP"":""568.700""}]"
8.10,iOS,iPhone,iPhone 12 Pro Max,15.3.1,iPhone,iPhone,CH5005,P02w,按钮点击,P70,9a5a2db6973d87b750358c55d5ebda1d,1647323057551,1647323347000,4070880000000,4070880000000,0,1647323403000,1647323356625,mockUrl/eScore.html#/index,"[{""FCP"":""287.000""},{""TTFB"":""0.000""}]"
7.17,iOS,iPhone,"iPhone14,5",15.3.1,iPhone,史庆芳的iPhone,CH5005,P02w,按钮点击,P70,05c6dccb107bd3dd6f6a62e875ff8d51,1647346137547,1647346138000,4070880000000,4070880000000,0,1647346208000,1647346168318,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""333.000""}]"
7.17,iOS,iPhone,"iPhone14,5",15.3.1,iPhone,史庆芳的iPhone,CH5005,P02w,按钮点击,P70,72c753d33dbece87c5ebdcbad101a326,1647347830532,1647347831000,4070880000000,4070880000000,0,1647347843000,1647346208145,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""268.000""}]"
8.10,iOS,iPhone,iPhone 13 Pro,15.3.1,iPhone,Mei的iPhone,CH5005,P02w,按钮点击,P70,f6097bebc38548867190f13cf20ae44f,1647223409346,1647273946000,4070880000000,4070880000000,0,1647274002000,1647273989962,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""650.000""}]"
8.10,iOS,iPhone,iPhone X,14.8.1,iPhone,sojie,CH5005,P02w,按钮点击,P70,e4a6dd9096176e2b908bdb5d0822a7eb,1647315747988,1647316817000,4070880000000,4070880000000,0,1647316876000,1647316842901,mockUrl/eScore.html#/index,"[{""FCP"":""969.000""},{""TTFB"":""0.000""}]"
8.08,Android,HONOR,PCT-AL10,Android 10,HONOR,HONOR V20,CH5005,�,按钮点击,null,052689a6ed6f7fc50c38c9366fa25c7f,1647302177899,1647302178000,4070880000000,4070880000000,0,1647302280000,1647302278141,mockUrl/eScore.html#/index,"[{""FCP"":""315.100""},{""TTFB"":""2.000""},{""LCP"":""1320.800""},{""FID"":""137.800""}]"
8.10,iOS,iPhone,iPhone 13,15.3.1,iPhone,iPhone,CH5005,P6097,按钮点击,P6306,cc0b899402be6501dc0989d635608b0b,1647213075521,1647310401000,4070880000000,4070880000000,0,1647310413000,1647082236389,mockUrl/anniversary.html#/anniversary,"[{""TTFB"":""0.000""},{""FCP"":""147.000""}]"
8.08,iOS,iPhone,iPhone X,15.2,iPhone,iPhone,CH5005,P02w,按钮点击,P70,d85eab1730667683d8fcce7c3c3fc9e7,1647311608559,1647311611000,4070880000000,4070880000000,0,1647311654000,1647311634744,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""1489.000""}]"
8.08,Android,OPPO,PEGM10,Android 11,OPPO,OPPO Reno5 K 5G,CH5005,P02w,按钮点击,P70,e9c50240cb54e09d0e2224c6c31ba0bf,1647310380026,1647310380000,4070880000000,4070880000000,0,1647310479000,1647310473713,mockUrl/eScore.html#/index,"[{""FCP"":""685.400""},{""TTFB"":""2.200""},{""CLS"":""0.001""},{""LCP"":""1075.600""}]"
8.07,Android,Xiaomi,MI 8,Android 10,Xiaomi,杨超的MI 8,CH5005,P02w,按钮点击,P70,34f3c0606b13f484935c5b726c629dd2,1647350435530,1647350436000,4070880000000,4070880000000,0,1647350547000,1647350477992,mockUrl/eScore.html#/index,"[{""FCP"":""563.100""},{""TTFB"":""2.600""},{""LCP"":""1227.600""},{""CLS"":""0.035""}]"
